national_ref;way_id;osm_link;name;highway_tag;speed_limit;
V94160_69;43846130;"https://www.openstreetmap.org/way/43846130";Place Lucien Delahaye;residential;30;
V94160_70;43846131;"https://www.openstreetmap.org/way/43846131";Rue Jolly;residential;30;
V94160_71;43846132;"https://www.openstreetmap.org/way/43846132";Villa Marcès;residential;null;
V94160_72;44757525;"https://www.openstreetmap.org/way/44757525";Avenue Gambetta;cycleway;null;
V94160_73;48181452;"https://www.openstreetmap.org/way/48181452";Avenue Daumesnil;path;null;
V94160_74;49208915;"https://www.openstreetmap.org/way/49208915";Rue Eugène Ringuet;residential;30;
V94160_75;49208921;"https://www.openstreetmap.org/way/49208921";Rue de l'Abbé Pouchard;residential;30;
V94160_76;49208923;"https://www.openstreetmap.org/way/49208923";Place Lucien Delahaye;residential;30;
V94160_77;49208924;"https://www.openstreetmap.org/way/49208924";Place de la Libération;pedestrian;null;
V94160_78;49796279;"https://www.openstreetmap.org/way/49796279";Rue de Verdun;residential;30;
V94160_79;49796281;"https://www.openstreetmap.org/way/49796281";Rue de la Première Division Française Libre;pedestrian;null;
V94160_80;49796282;"https://www.openstreetmap.org/way/49796282";Villa Suzanne;residential;null;
V94160_81;55344353;"https://www.openstreetmap.org/way/55344353";null;service;30;
V94160_82;55674100;"https://www.openstreetmap.org/way/55674100";null;footway;null;
V94160_83;55674101;"https://www.openstreetmap.org/way/55674101";null;footway;null;
V94160_84;55674102;"https://www.openstreetmap.org/way/55674102";null;footway;null;
V94160_85;55674103;"https://www.openstreetmap.org/way/55674103";null;footway;null;
V94160_86;55674104;"https://www.openstreetmap.org/way/55674104";null;footway;null;
V94160_87;55674105;"https://www.openstreetmap.org/way/55674105";null;footway;null;
V94160_88;55674106;"https://www.openstreetmap.org/way/55674106";null;footway;null;
V94160_89_D-237;55675409;"https://www.openstreetmap.org/way/55675409";Avenue Foch;tertiary;null;
V94160_90;58002005;"https://www.openstreetmap.org/way/58002005";Rue de Lagny;cycleway;null;
V94160_91;58002886;"https://www.openstreetmap.org/way/58002886";Rue de Lagny;cycleway;null;
V94160_92;93478917;"https://www.openstreetmap.org/way/93478917";Rue Eugène Ringuet;residential;30;
V94160_93;93478919;"https://www.openstreetmap.org/way/93478919";Rue Guynemer;residential;30;
V94160_94;93478920;"https://www.openstreetmap.org/way/93478920";Rue Jeanne d'Arc;residential;30;
V94160_95;93481125;"https://www.openstreetmap.org/way/93481125";Rue Faidherbe;residential;30;
V94160_96;93481126;"https://www.openstreetmap.org/way/93481126";Rue Grandville;residential;30;
V94160_97;93481127;"https://www.openstreetmap.org/way/93481127";Rue Faidherbe;footway;null;
V94160_98;93481128;"https://www.openstreetmap.org/way/93481128";Rue Grandville;residential;30;
V94160_99;108457126;"https://www.openstreetmap.org/way/108457126";Accès Parking Charles Digeon;service;null;
V94160_100;110490585;"https://www.openstreetmap.org/way/110490585";null;service;null;
V94160_101;112445127;"https://www.openstreetmap.org/way/112445127";Avenue Daumesnil;secondary;30;
V94160_102;112445128;"https://www.openstreetmap.org/way/112445128";Avenue Daumesnil;tertiary;50;
V94160_103;115856638;"https://www.openstreetmap.org/way/115856638";Villa de la Tourelle;service;null;
V94160_104;115857207;"https://www.openstreetmap.org/way/115857207";Villa de l'Étang;residential;null;
V94160_105;115857332;"https://www.openstreetmap.org/way/115857332";Rue Cailletet;pedestrian;null;
V94160_106;115857800;"https://www.openstreetmap.org/way/115857800";Avenue Robert-André Vivien;residential;30;
V94160_107;131302537;"https://www.openstreetmap.org/way/131302537";Square des Anciens Combattants en Afrique du Nord;pedestrian;null;
V94160_108;131303302;"https://www.openstreetmap.org/way/131303302";Place du Général Leclerc;pedestrian;null;
V94160_109;134933420;"https://www.openstreetmap.org/way/134933420";null;path;null;
V94160_110_D-158;137000080;"https://www.openstreetmap.org/way/137000080";Avenue Joffre;secondary;30;
V94160_111_D-237;137000081;"https://www.openstreetmap.org/way/137000081";Avenue Foch;tertiary;50;
V94160_112_D-158;137000082;"https://www.openstreetmap.org/way/137000082";Avenue Joffre;secondary;30;
V94160_113_D-158;137000084;"https://www.openstreetmap.org/way/137000084";Place du Général Leclerc;secondary;30;
V94160_114_D-158;137003253;"https://www.openstreetmap.org/way/137003253";Place du Général Leclerc;secondary;30;
V94160_115_D-120;137003254;"https://www.openstreetmap.org/way/137003254";Avenue de Paris;primary;50;
V94160_116_D-158;137003255;"https://www.openstreetmap.org/way/137003255";Avenue du Général de Gaulle;secondary;30;
