national_ref;way_id;osm_link;name;highway_tag;speed_limit;
V75013_1645;285658987;"https://www.openstreetmap.org/way/285658987";null;footway;null;
V75013_1646;286296495;"https://www.openstreetmap.org/way/286296495";null;footway;null;
V75013_1647;286296496;"https://www.openstreetmap.org/way/286296496";null;steps;null;
V75013_1648;286297601;"https://www.openstreetmap.org/way/286297601";null;elevator;null;
V75013_1649;286937556;"https://www.openstreetmap.org/way/286937556";null;footway;null;
V75013_1650;287243359;"https://www.openstreetmap.org/way/287243359";null;footway;null;
V75013_1651;287958489;"https://www.openstreetmap.org/way/287958489";Avenue Caffieri;residential;30;
V75013_1652;287958493;"https://www.openstreetmap.org/way/287958493";Rue Max Jacob;residential;30;
V75013_1653;290560461;"https://www.openstreetmap.org/way/290560461";null;footway;null;
V75013_1654;290560462;"https://www.openstreetmap.org/way/290560462";null;footway;null;
V75013_1655;290560995;"https://www.openstreetmap.org/way/290560995";null;footway;null;
V75013_1656;290722464;"https://www.openstreetmap.org/way/290722464";Rue Trolley de Prévaux;steps;null;
V75013_1657;290722465;"https://www.openstreetmap.org/way/290722465";Rue Trolley de Prévaux;pedestrian;null;
V75013_1658;290722466;"https://www.openstreetmap.org/way/290722466";null;footway;null;
V75013_1659;290722471;"https://www.openstreetmap.org/way/290722471";null;footway;null;
V75013_1660;290722472;"https://www.openstreetmap.org/way/290722472";null;footway;null;
V75013_1661;290722474;"https://www.openstreetmap.org/way/290722474";null;footway;null;
V75013_1662;290722475;"https://www.openstreetmap.org/way/290722475";null;footway;null;
V75013_1663;290722476;"https://www.openstreetmap.org/way/290722476";null;footway;null;
V75013_1664;290722477;"https://www.openstreetmap.org/way/290722477";null;footway;null;
V75013_1665;290722478;"https://www.openstreetmap.org/way/290722478";null;footway;null;
V75013_1666;290722481;"https://www.openstreetmap.org/way/290722481";null;footway;null;
V75013_1667;291425973;"https://www.openstreetmap.org/way/291425973";null;footway;null;
V75013_1668;291500761;"https://www.openstreetmap.org/way/291500761";Cour Seine;service;20;
V75013_1669;291500913;"https://www.openstreetmap.org/way/291500913";Quai d'Austerlitz;footway;null;
V75013_1670;292745872;"https://www.openstreetmap.org/way/292745872";null;footway;null;
V75013_1671;292745874;"https://www.openstreetmap.org/way/292745874";null;footway;null;
V75013_1672;292745876;"https://www.openstreetmap.org/way/292745876";null;footway;null;
V75013_1673;292745877;"https://www.openstreetmap.org/way/292745877";null;footway;null;
V75013_1674;292745878;"https://www.openstreetmap.org/way/292745878";null;footway;null;
V75013_1675;292745879;"https://www.openstreetmap.org/way/292745879";null;footway;null;
V75013_1676;292745880;"https://www.openstreetmap.org/way/292745880";null;footway;null;
V75013_1677;292745881;"https://www.openstreetmap.org/way/292745881";null;footway;null;
V75013_1678;292773730;"https://www.openstreetmap.org/way/292773730";null;footway;null;
V75013_1679;292773731;"https://www.openstreetmap.org/way/292773731";Allée Éric Chabeur;pedestrian;null;
V75013_1680;292773732;"https://www.openstreetmap.org/way/292773732";Allée Éric Chabeur;pedestrian;null;
V75013_1681;292773733;"https://www.openstreetmap.org/way/292773733";null;footway;null;
V75013_1682;292773734;"https://www.openstreetmap.org/way/292773734";null;pedestrian;null;
V75013_1683;292773735;"https://www.openstreetmap.org/way/292773735";Allée Éric Chabeur;pedestrian;null;
V75013_1684;292773736;"https://www.openstreetmap.org/way/292773736";null;service;null;
V75013_1685;292773823;"https://www.openstreetmap.org/way/292773823";null;footway;null;
V75013_1686;292876833;"https://www.openstreetmap.org/way/292876833";null;footway;null;
V75013_1687;292877507;"https://www.openstreetmap.org/way/292877507";null;service;null;
V75013_1688;292877508;"https://www.openstreetmap.org/way/292877508";null;service;null;
